iter	Passed	Remaining
354	55450	100748
355	55600	100581
356	55750	100412
357	55901	100248
358	56048	100075
359	56196	99905
360	56346	99738
361	56496	99570
362	56645	99403
363	56795	99236
364	56942	99064
365	57093	98899
366	57239	98727
367	57389	98559
368	57535	98387
369	57685	98220
370	57834	98053
371	57980	97881
372	58130	97714
373	58278	97547
374	58428	97380
375	58580	97218
376	58729	97050
377	58877	96882
378	59026	96716
379	59174	96548
380	59322	96379
381	59470	96211
382	59621	96048
383	59777	95893
384	59940	95749
385	60085	95576
386	60232	95406
387	60380	95239
388	60577	95148
389	60728	94984
390	60876	94817
391	61026	94653
392	61173	94484
393	61322	94319
394	61472	94153
395	61622	93989
396	61769	93821
397	61919	93656
398	62065	93486
399	62211	93317
400	62362	93154
401	62511	92989
402	62677	92849
403	62826	92684
404	62977	92522
405	63124	92354
406	63274	92191
407	63423	92025
408	63573	91862
409	63730	91709
410	63881	91547
411	64033	91387
412	64184	91225
413	64331	91057
414	64478	90892
415	64624	90722
416	64774	90559
417	64920	90391
418	65070	90228
419	65218	90064
420	65370	89904
421	65519	89740
422	65672	89581
423	65822	89419
424	65971	89255
425	66120	89092
426	66269	88928
427	66419	88765
428	66567	88601
429	66718	88440
430	66864	88274
431	67013	88109
432	67161	87946
433	67311	87783
434	67459	87619
435	67612	87461
436	67760	87298
437	67910	87136
438	68062	86976
439	68211	86815
440	68359	86650
441	68510	86490
442	68657	86325
443	68805	86162
444	68955	86000
445	69110	85845
446	69258	85682
447	69408	85521
448	69563	85366
449	69720	85213
450	69871	85053
451	70032	84906
452	70178	84740
453	70325	84576
454	70472	84412
455	70622	84251
456	70769	84087
457	70916	83922
458	71065	83761
459	71213	83597
460	71365	83440
461	71509	83272
462	71659	83113
463	71808	82950
464	71958	82791
465	72105	82627
466	72256	82468
467	72403	82304
468	72553	82144
469	72702	81984
470	72852	81823
471	73000	81661
472	73149	81501
473	73298	81340
474	73445	81176
475	73595	81017
476	73744	80855
477	73892	80694
478	74042	80535
479	74193	80376
480	74339	80212
481	74490	80054
482	74637	79891
483	74786	79731
484	74933	79568
485	75082	79407
486	75230	79246
487	75378	79085
488	75526	78924
489	75676	78764
490	75823	78603
491	75972	78443
492	76120	78282
493	76272	78125
494	76421	77965
495	76570	77805
496	76720	77646
497	76870	77488
498	77019	77328
499	77168	77168
500	77318	77009
501	77467	76850
502	77631	76705
503	77783	76548
504	77938	76394
505	78088	76236
506	78236	76075
507	78385	75916
508	78535	75758
509	78688	75603
510	78838	75444
511	78991	75288
512	79141	75130
513	79288	74969
514	79438	74810
515	79585	74649
516	79735	74491
517	79882	74330
518	80037	74177
519	80200	74031
520	80351	73874
521	80498	73713
522	80647	73554
523	80793	73392
524	80943	73234
525	81088	73072
526	81237	72913
527	81383	72752
528	81532	72593
529	81679	72433
530	81827	72273
531	81975	72113
532	82122	71953
533	82275	71798
534	82423	71638
535	82573	71481
536	82718	71319
537	82866	71160
538	83015	71001
539	83162	70842
540	83309	70682
541	83502	70560
542	83651	70402
543	83799	70243
544	83948	70085
545	84096	69926
546	84244	69767
547	84393	69609
548	84543	69452
549	84694	69295
550	84840	69135
551	84990	68977
552	85138	68819
553	85288	68661
554	85437	68503
555	85586	68345
556	85734	68187
557	85882	68029
558	86036	67875
559	86185	67717
560	86333	67558
561	86481	67400
562	86628	67241
563	86777	67083
564	86926	66925
565	87073	66766
566	87224	66610
567	87372	66452
568	87521	66294
569	87671	66138
570	87821	65981
571	87968	65822
572	88115	65663
573	88264	65506
574	88415	65350
575	88568	65196
576	88716	65038
577	88864	64880
578	89013	64723
579	89163	64566
580	89311	64408
581	89460	64252
582	89606	64092
583	89757	63936
584	89905	63779
585	90055	63623
586	90210	63470
587	90369	63320
588	90519	63164
589	90668	63006
590	90817	62850
591	90967	62693
592	91113	62534
593	91263	62378
594	91410	62220
595	91560	62064
596	91712	61910
597	91863	61754
598	92012	61597
599	92160	61440
600	92310	61284
601	92458	61127
602	92620	60978
603	92769	60822
604	92927	60671
605	93081	60518
606	93227	60359
607	93376	60203
608	93526	60047
609	93678	59892
610	93827	59736
611	93977	59580
612	94125	59423
613	94275	59267
614	94424	59111
615	94579	58958
616	94733	58805
617	94887	58652
618	95039	58497
619	95186	58340
620	95349	58192
621	95506	58040
622	95664	57889
623	95822	57739
624	95972	57583
625	96122	57427
626	96271	57271
627	96428	57120
628	96604	56980
629	96756	56825
630	96904	56668
631	97053	56511
632	97201	56355
633	97357	56202
634	97512	56050
635	97664	55896
636	97834	55751
637	98000	55605
638	98160	55455
639	98314	55301
640	98474	55151
641	98627	54997
642	98782	54844
643	98933	54690
644	99084	54534
645	99235	54379
646	99383	54223
647	99531	54066
648	99680	53910
649	99830	53755
650	99980	53599
651	100129	53443
652	100282	53289
653	100441	53138
654	100590	52982
655	100739	52826
656	100889	52671
657	101038	52515
658	101186	52358
659	101334	52202
660	101488	52049
661	101654	51901
662	101806	51747
663	101959	51594
664	102108	51438
665	102254	51280
666	102404	51125
667	102554	50970
668	102703	50814
669	102850	50657
670	103001	50502
671	103147	50345
672	103297	50190
673	103443	50033
674	103592	49877
675	103741	49722
676	103887	49565
677	104036	49409
678	104185	49254
679	104342	49102
680	104495	48948
681	104643	48792
682	104793	48637
683	104942	48482
684	105092	48327
685	105240	48171
686	105385	48014
687	105545	47863
688	105702	47711
689	105862	47561
690	106020	47410
691	106177	47258
692	106328	47103
693	106475	46947
694	106624	46791
695	106771	46635
696	106920	46480
697	107071	46326
698	107221	46171
699	107374	46017
700	107526	45863
701	107723	45728
702	107885	45579
703	108036	45424
704	108189	45270
705	108337	45115
706	108485	44959
707	108633	44803
708	108792	44652
709	108946	44499
710	109100	44346
711	109253	44192
712	109401	44036
713	109548	43880
714	109697	43725
715	109848	43571
716	109999	43416
717	110150	43262
718	110299	43107
719	110454	42954
720	110624	42807
721	110773	42652
722	110921	42496
723	111069	42341
724	111224	42188
725	111372	42033
726	111520	41877
727	111671	41723
728	111823	41569
729	111977	41416
730	112128	41262
731	112277	41107
732	112431	40954
733	112586	40800
734	112731	40644
735	112881	40490
736	113036	40337
737	113187	40182
738	113333	40027
739	113490	39875
740	113641	39720
741	113793	39566
742	113940	39411
743	114101	39260
744	114250	39106
745	114401	38951
746	114557	38799
747	114706	38644
748	114854	38489
749	115011	38337
750	115158	38181
751	115307	38027
752	115474	37878
753	115625	37723
754	115774	37569
755	115933	37417
756	116079	37261
757	116230	37107
758	116388	36955
759	116538	36801
760	116689	36647
761	116846	36495
762	116997	36341
763	117150	36187
764	117299	36033
765	117457	35881
766	117610	35727
767	117758	35572
768	117910	35419
769	118066	35266
770	118213	35111
771	118362	34956
772	118515	34803
773	118673	34651
774	118823	34497
775	118991	34348
776	119166	34200
777	119371	34062
778	119546	33915
779	119708	33763
780	119879	33615
781	120036	33462
782	120187	33308
783	120337	33154
784	120484	32998
785	120638	32845
786	120800	32694
787	120958	32542
788	121106	32387
789	121256	32232
790	121405	32077
791	121555	31923
792	121703	31768
793	121855	31614
794	122012	31462
795	122166	31308
796	122315	31154
797	122472	31001
798	122622	30847
799	122772	30693
800	122919	30538
801	123069	30383
802	123229	30231
803	123385	30078
804	123549	29928
805	123699	29773
806	123845	29618
807	123991	29463
808	124142	29309
809	124296	29155
810	124447	29002
811	124657	28861
812	124804	28706
813	124957	28552
814	125109	28399
815	125268	28246
816	125426	28094
817	125592	27943
818	125740	27788
819	125911	27639
820	126073	27487
821	126231	27334
822	126379	27180
823	126538	27027
824	126691	26874
825	126841	26719
826	126996	26566
827	127150	26412
828	127319	26262
829	127485	26111
830	127635	25957
831	127785	25802
832	127932	25647
833	128081	25493
834	128227	25338
835	128375	25183
836	128524	25029
837	128680	24876
838	128832	24722
839	128981	24567
840	129130	24413
841	129279	24259
842	129435	24106
843	129589	23952
844	129774	23804
845	129931	23651
846	130073	23496
847	130198	23337
848	130323	23178
849	130449	23020
850	130575	22862
851	130701	22703
852	130831	22546
853	130969	22390
854	131103	22233
855	131239	22077
856	131415	21928
857	131535	21769
858	131660	21611
859	131786	21453
860	131909	21295
861	132037	21138
862	132164	20980
863	132295	20824
864	132426	20667
865	132550	20510
866	132674	20352
867	132827	20199
868	132949	20041
869	133072	19884
870	133193	19726
871	133318	19569
872	133440	19412
873	133562	19255
874	133685	19097
875	133811	18941
876	133935	18784
877	134062	18628
878	134185	18471
879	134307	18314
880	134431	18158
881	134560	18002
882	134683	17845
883	134806	17689
884	134931	17533
885	135055	17377
886	135182	17221
887	135308	17065
888	135431	16909
889	135662	16767
890	135787	16611
891	135910	16455
892	136031	16299
893	136157	16143
894	136286	15988
895	136409	15833
896	136531	15677
897	136657	15522
898	136785	15367
899	136908	15212
900	137030	15056
901	137156	14901
902	137287	14747
903	137414	14592
904	137541	14438
905	137664	14283
906	137788	14128
907	137911	13973
908	138032	13818
909	138155	13663
910	138283	13509
911	138412	13355
912	138536	13201
913	138660	13046
914	138786	12892
915	138910	12738
916	139032	12584
917	139155	12429
918	139280	12276
919	139404	12122
920	139525	11968
921	139648	11814
922	139770	11660
923	139892	11506
924	140021	11353
925	140151	11200
926	140283	11047
927	140410	10893
928	140536	10740
929	140659	10587
930	140781	10433
931	140907	10280
932	141044	10128
933	141172	9975
934	141293	9822
935	141416	9669
936	141540	9516
937	141667	9363
938	141794	9211
939	141917	9058
940	142041	8905
941	142165	8753
942	142286	8600
943	142407	8447
944	142533	8295
945	142656	8143
946	142776	7990
947	142896	7838
948	143016	7685
949	143140	7533
950	143263	7381
951	143389	7229
952	143517	7078
953	143639	6926
954	143760	6774
955	143882	6622
956	144006	6470
957	144128	6318
958	144250	6167
959	144374	6015
960	144497	5864
961	144621	5712
962	144745	5561
963	144866	5409
964	144990	5258
965	145113	5107
966	145234	4956
967	145360	4805
968	145480	4654
969	145606	4503
970	145732	4352
971	145856	4201
972	145982	4050
973	146105	3900
974	146231	3749
975	146355	3598
976	146480	3448
977	146605	3297
978	146732	3147
979	146854	2997
980	146977	2846
981	147098	2696
982	147224	2546
983	147346	2395
984	147470	2245
985	147594	2095
986	147721	1945
987	147845	1795
988	147966	1645
989	148086	1495
990	148208	1345
991	148333	1196
992	148455	1046
993	148579	896
994	148701	747
995	148825	597
996	148946	448
997	149067	298
998	149192	149
999	149323	0
