/Users/mac2/Library/Python/3.9/lib/python/site-packages/xgboost/core.py:158: UserWarning:

[16:51:43] WARNING: /Users/runner/work/xgboost/xgboost/src/learner.cc:740:
Parameters: { "use_label_encoder" } are not used.
[85]	validation_0-mlogloss:1.21868	validation_1-mlogloss:1.27710
[86]	validation_0-mlogloss:1.21838	validation_1-mlogloss:1.27732
[87]	validation_0-mlogloss:1.21805	validation_1-mlogloss:1.27752
[88]	validation_0-mlogloss:1.21777	validation_1-mlogloss:1.27767
[89]	validation_0-mlogloss:1.21743	validation_1-mlogloss:1.27786
[90]	validation_0-mlogloss:1.21711	validation_1-mlogloss:1.27809
[91]	validation_0-mlogloss:1.21690	validation_1-mlogloss:1.27823
[92]	validation_0-mlogloss:1.21662	validation_1-mlogloss:1.27841
[93]	validation_0-mlogloss:1.21634	validation_1-mlogloss:1.27853
[94]	validation_0-mlogloss:1.21606	validation_1-mlogloss:1.27867
[95]	validation_0-mlogloss:1.21582	validation_1-mlogloss:1.27886
[96]	validation_0-mlogloss:1.21555	validation_1-mlogloss:1.27908
[97]	validation_0-mlogloss:1.21526	validation_1-mlogloss:1.27923
[98]	validation_0-mlogloss:1.21509	validation_1-mlogloss:1.27936
[99]	validation_0-mlogloss:1.21483	validation_1-mlogloss:1.27958


/Users/mac2/Library/Python/3.9/lib/python/site-packages/plotly/matplotlylib/renderer.py:609: UserWarning:

I found a path object that I don't think is part of a bar chart. Ignoring.

/Users/mac2/Library/Python/3.9/lib/python/site-packages/plotly/matplotlylib/renderer.py:609: UserWarning:

I found a path object that I don't think is part of a bar chart. Ignoring.
