iter	MultiClass
179	1.091582866
180	1.091575111
181	1.091534219
182	1.091528874
183	1.091514162
184	1.091502181
185	1.091484909
186	1.091465137
187	1.091462475
188	1.091432369
189	1.091417215
190	1.091395443
191	1.091383477
192	1.091376583
193	1.091366102
194	1.091319295
195	1.091296551
196	1.091283129
197	1.09126675
198	1.091254309
199	1.091245412
200	1.091225622
201	1.091222523
202	1.091185626
203	1.091155568
204	1.091138461
205	1.091122693
206	1.091115174
207	1.091069781
208	1.09106078
209	1.091032785
210	1.091018402
211	1.091011546
212	1.090991089
213	1.090967823
214	1.090958478
215	1.090950392
216	1.090948462
217	1.090936656
218	1.090914742
219	1.090899747
220	1.090863884
221	1.090845328
222	1.090843823
223	1.090775739
224	1.09076067
225	1.090731509
226	1.090718735
227	1.090697653
228	1.090692488
229	1.09068213
230	1.09063825
231	1.090633704
232	1.090618623
233	1.090596581
234	1.090589488
235	1.090579538
236	1.090567345
237	1.090562243
238	1.09054408
239	1.090531159
240	1.090509744
241	1.090475604
242	1.090468563
243	1.090462588
244	1.09043982
245	1.090436638
246	1.090422289
247	1.090407023
248	1.090403632
249	1.090390875
250	1.090378542
251	1.090374153
252	1.090363278
253	1.09035827
254	1.090341393
255	1.090324108
256	1.090322015
257	1.09031231
258	1.090292922
259	1.090253373
260	1.090249317
261	1.090222475
262	1.090207834
263	1.090171554
264	1.09015931
265	1.090137854
266	1.090110426
267	1.090108411
268	1.09008541
269	1.090051149
270	1.090047541
271	1.090031783
272	1.090027245
273	1.090016789
274	1.089986121
275	1.089951372
276	1.089935791
277	1.089932949
278	1.089926262
279	1.089922489
280	1.089893967
281	1.089876587
282	1.089850322
283	1.089839764
284	1.089836009
285	1.089827171
286	1.089794695
287	1.089785468
288	1.089756353
289	1.089745844
290	1.089742043
291	1.089735485
292	1.089719206
293	1.089703798
294	1.089681589
295	1.08967117
296	1.089637155
297	1.089632307
298	1.089631008
299	1.089597438
300	1.089596876
301	1.089577804
302	1.089538071
303	1.089515894
304	1.089506182
305	1.089489804
306	1.089475406
307	1.089442231
308	1.089437894
309	1.089426143
310	1.089422829
311	1.08940875
312	1.089376822
313	1.089367203
314	1.089362008
315	1.089342874
316	1.089318558
317	1.0893129
318	1.089303475
319	1.089298555
320	1.089292867
321	1.089277862
322	1.089267082
323	1.089257609
324	1.089241293
325	1.089218551
326	1.089186843
327	1.089165856
328	1.089143871
329	1.089139061
330	1.089131308
331	1.089114749
332	1.089105012
333	1.089099186
334	1.089066234
335	1.089064264
336	1.08904378
337	1.089031281
338	1.089012252
339	1.088996243
340	1.088995408
341	1.088967995
342	1.088959996
343	1.088942383
344	1.088937195
345	1.088928983
346	1.088921763
347	1.088908627
348	1.08890581
349	1.08889333
350	1.088876365
351	1.088867309
352	1.088842295
353	1.088832575
354	1.088805741
355	1.088791084
356	1.088784145
357	1.088774416
358	1.088770354
359	1.088747479
360	1.088727194
361	1.088720708
362	1.088714337
363	1.088694758
364	1.088693268
365	1.088686444
366	1.0886503
367	1.088641318
368	1.088632826
369	1.088624534
370	1.088615118
371	1.088607847
372	1.088601426
373	1.088592036
374	1.088586516
375	1.088579733
376	1.088574991
377	1.088572534
378	1.088559565
379	1.08854541
380	1.088527205
381	1.088518595
382	1.08850663
383	1.088499378
384	1.088477535
385	1.088473087
386	1.088471738
387	1.088445889
388	1.08843572
389	1.088426621
390	1.088423476
391	1.088421212
392	1.088419521
393	1.088411172
394	1.088408284
395	1.088365672
396	1.088355975
397	1.088345076
398	1.088333379
399	1.088327793
400	1.088317183
401	1.088308217
402	1.088301054
403	1.088295794
404	1.08829487
405	1.088289581
406	1.088287902
407	1.088270598
408	1.088255571
409	1.088250559
410	1.088226597
411	1.088204203
412	1.088200235
413	1.088190928
414	1.088174569
415	1.088170569
416	1.088168572
417	1.088154884
418	1.088150012
419	1.088144526
420	1.088137067
421	1.088134849
422	1.088121741
423	1.08811674
424	1.088080215
425	1.088078383
426	1.088075386
427	1.088054209
428	1.088043322
429	1.088000326
430	1.087982244
431	1.087975244
432	1.087965685
433	1.087960516
434	1.087950232
435	1.087939084
436	1.087930912
437	1.087912697
438	1.087908441
439	1.087904636
440	1.087888062
441	1.087876553
442	1.087855038
443	1.087840712
444	1.087836131
445	1.087833461
446	1.087810179
447	1.087809066
448	1.087806774
449	1.087804215
450	1.087797868
451	1.087794243
452	1.087790429
453	1.087771565
454	1.087770408
455	1.08775716
456	1.0877135
457	1.087687446
458	1.087661704
459	1.087652723
460	1.087649936
461	1.087642894
462	1.087639578
463	1.087634577
464	1.087628298
465	1.087626084
466	1.087624832
467	1.087623145
468	1.087611067
469	1.087593076
470	1.087577422
471	1.087564573
472	1.087521391
473	1.087494261
474	1.087491065
475	1.087483316
476	1.087479825
477	1.087469941
478	1.08744551
479	1.087435679
480	1.087432861
481	1.087427568
482	1.087424668
483	1.087405109
484	1.087394324
485	1.08739037
486	1.087381127
487	1.087380586
488	1.087376043
489	1.08737567
490	1.087363647
491	1.08736039
492	1.087349358
493	1.087328359
494	1.087326896
495	1.087322052
496	1.087319036
497	1.087317244
498	1.087311894
499	1.087305985
500	1.087303729
501	1.087301701
502	1.087300862
503	1.087294068
504	1.087292473
505	1.087270331
506	1.087267986
507	1.08726501
508	1.087260973
509	1.087254559
510	1.08724396
511	1.087239992
512	1.087237177
513	1.087222044
514	1.08719928
515	1.087198004
516	1.08719596
517	1.087191042
518	1.087185496
519	1.087176493
520	1.087171222
521	1.087170621
522	1.087169156
523	1.087166754
524	1.087146276
525	1.087119465
526	1.087114476
527	1.087112822
528	1.087104333
529	1.087095775
530	1.087095423
531	1.087037699
532	1.087027572
533	1.087025351
534	1.087024471
535	1.087012255
536	1.086986419
537	1.08696808
538	1.086942822
539	1.086940389
540	1.086927208
541	1.086923015
542	1.086919831
543	1.086901881
544	1.086900605
545	1.0868881
546	1.086886835
547	1.086867542
548	1.086856321
549	1.086849323
550	1.086831478
551	1.086815405
552	1.086809823
553	1.086807746
554	1.086791103
555	1.086787155
556	1.086786789
557	1.086764208
558	1.086763575
559	1.08675262
560	1.086751809
561	1.086745547
562	1.086742728
563	1.086736106
564	1.086729125
565	1.086719137
566	1.086716235
567	1.086710385
568	1.086697144
569	1.086691941
570	1.086685213
571	1.086670234
572	1.086653835
573	1.08665147
574	1.086646917
575	1.086640134
576	1.086639715
577	1.086638237
578	1.086636078
579	1.086633364
580	1.086628859
581	1.086616945
582	1.086603317
583	1.086599349
584	1.086593838
585	1.086593033
586	1.086592122
587	1.086586966
588	1.086581636
589	1.086577351
590	1.086566088
591	1.086560464
592	1.086556095
593	1.086544679
594	1.086528799
595	1.086524495
596	1.086519799
597	1.086511903
598	1.086506186
599	1.086484387
600	1.086482512
601	1.08648193
602	1.086480012
603	1.086477669
604	1.08647646
605	1.086473119
606	1.086470515
607	1.086470377
608	1.086467309
609	1.086462138
610	1.086457812
611	1.086451926
612	1.086447767
613	1.086437768
614	1.086434089
615	1.086429803
616	1.086426111
617	1.086421314
618	1.086418074
619	1.086411672
620	1.086408863
621	1.086406245
622	1.086403467
623	1.086398881
624	1.086387065
625	1.086376185
626	1.086374563
627	1.086373588
628	1.086363106
629	1.086360282
630	1.086358903
631	1.086350973
632	1.086344199
633	1.086342076
634	1.086333468
635	1.086333215
636	1.086329036
637	1.086327
638	1.086325573
639	1.086324113
640	1.086308973
641	1.086307771
642	1.086296888
643	1.086296055
644	1.086294133
645	1.086278815
646	1.086274753
647	1.086273644
648	1.086268432
649	1.086263136
650	1.086258327
651	1.086251745
652	1.086244942
653	1.086240725
654	1.086229216
655	1.086209389
656	1.086204447
657	1.086197638
658	1.086188499
659	1.086187065
660	1.086185334
661	1.086182607
662	1.086177234
663	1.086172247
664	1.086161314
665	1.086148739
666	1.086124987
667	1.086113628
668	1.086104231
669	1.086100985
670	1.08609262
671	1.086091305
672	1.086068186
673	1.086056722
674	1.086042344
675	1.086031131
676	1.086029254
677	1.08602764
678	1.085997362
679	1.085989817
680	1.085955173
681	1.085936388
682	1.085930216
683	1.085928313
684	1.085922244
685	1.085901472
686	1.085898796
687	1.085887206
688	1.085883389
689	1.085878317
690	1.085866768
691	1.085855464
692	1.085850849
693	1.085835379
694	1.085829255
695	1.085827251
696	1.085797805
697	1.085796482
698	1.085794565
699	1.085791897
700	1.08579048
701	1.085787293
702	1.085784489
703	1.085778442
704	1.085761026
705	1.08575705
706	1.085736842
707	1.085733456
708	1.085731064
709	1.085727009
710	1.08572267
711	1.085712454
712	1.085711825
713	1.085708452
714	1.08569994
715	1.085681635
716	1.085677388
717	1.085672713
718	1.085670989
719	1.085668198
720	1.085662465
721	1.085660467
722	1.085660245
723	1.085655276
724	1.085647785
725	1.085644813
726	1.085643586
727	1.085629079
728	1.085626887
729	1.085611153
730	1.085611049
731	1.08560469
732	1.085587767
733	1.085584373
734	1.085579052
735	1.085576654
736	1.085574077
737	1.085570874
738	1.085567141
739	1.085562818
740	1.085561921
741	1.085556885
742	1.085548446
743	1.085545065
744	1.085542714
745	1.085533793
746	1.085531966
747	1.085530995
748	1.085529418
749	1.085514607
750	1.085510388
751	1.085493411
752	1.085489566
753	1.085484085
754	1.085475077
755	1.085472606
756	1.085470353
757	1.085462802
758	1.085460769
759	1.085457075
760	1.085455953
761	1.085446122
762	1.085440571
763	1.085436059
764	1.085432918
765	1.085431377
766	1.085431169
767	1.085426462
768	1.085424692
769	1.085420184
770	1.085408481
771	1.085403321
772	1.08540215
773	1.085395903
774	1.085393518
775	1.08538274
776	1.085377883
777	1.085373917
778	1.085366752
779	1.085362672
780	1.085343938
781	1.085341255
782	1.085329349
783	1.085328976
784	1.085322363
785	1.085321172
786	1.08530407
787	1.085299593
788	1.085280506
789	1.085278427
790	1.085277927
791	1.085275212
792	1.085266795
793	1.085263798
794	1.085257678
795	1.085255119
796	1.085253689
797	1.085245857
798	1.085234713
799	1.085231817
800	1.085230531
801	1.085226931
802	1.085221701
803	1.085217984
804	1.085202727
805	1.085198095
806	1.085197206
807	1.08519247
808	1.08518898
809	1.085187829
810	1.085180496
811	1.085174995
812	1.085160326
813	1.085152883
814	1.085149015
815	1.085134654
816	1.085130315
817	1.085121536
818	1.08511908
819	1.08511812
820	1.085117471
821	1.085111605
822	1.085110078
823	1.085108884
824	1.085097035
825	1.085092859
826	1.085086403
827	1.085085438
828	1.085085161
829	1.085084664
830	1.085077484
831	1.085059869
832	1.085059195
833	1.08503323
834	1.085025448
835	1.085024709
836	1.085020155
837	1.085015715
838	1.084977686
839	1.084971673
840	1.08495977
841	1.0849587
842	1.084957043
843	1.084956535
844	1.084954752
845	1.084953226
846	1.08494985
847	1.084947757
848	1.08494566
849	1.084941956
850	1.084941083
851	1.084940045
852	1.084939469
853	1.084934267
854	1.084929777
855	1.084926762
856	1.084925323
857	1.084908772
858	1.084908055
859	1.084891245
860	1.084874936
861	1.084860267
862	1.084856349
863	1.084855377
864	1.084840632
865	1.084835367
866	1.084833081
867	1.084819508
868	1.084818027
869	1.084814105
870	1.084806317
871	1.084801134
872	1.084799137
873	1.084797504
874	1.084782676
875	1.084779028
876	1.084775104
877	1.084760164
878	1.084751218
879	1.084741621
880	1.084738876
881	1.08473328
882	1.084722092
883	1.084710859
884	1.084707532
885	1.084699723
886	1.08469196
887	1.084689488
888	1.08468894
889	1.084684076
890	1.084683343
891	1.084681276
892	1.084678792
893	1.084675627
894	1.084667476
895	1.084664661
896	1.084659686
897	1.084658484
898	1.084656224
899	1.084654474
900	1.084645953
901	1.084637143
902	1.084620561
903	1.084580867
904	1.084579782
905	1.084566583
906	1.084562254
907	1.084551417
908	1.084550795
909	1.084539571
910	1.084534348
911	1.084533001
912	1.084531734
913	1.084528337
914	1.084519226
915	1.084517917
916	1.084514073
917	1.084508817
918	1.084501165
919	1.084496912
920	1.084489143
921	1.084488107
922	1.084486163
923	1.084475737
924	1.08446833
925	1.084463027
926	1.084461014
927	1.084459983
928	1.084458901
929	1.084458248
930	1.084414763
931	1.084411099
932	1.084407146
933	1.084402506
934	1.084396394
935	1.084394903
936	1.084393069
937	1.084375476
938	1.084360707
939	1.084315681
940	1.084303866
941	1.084290592
942	1.084285315
943	1.084284175
944	1.084280403
945	1.084254494
946	1.084252084
947	1.084251556
948	1.084248462
949	1.084244995
950	1.084239888
951	1.084237234
952	1.084235145
953	1.084233505
954	1.08423255
955	1.084227054
956	1.084226148
957	1.084220728
958	1.084216814
959	1.084215383
960	1.084213337
961	1.084202095
962	1.08419889
963	1.084196706
964	1.084182762
965	1.084173697
966	1.08417325
967	1.084166385
968	1.084164709
969	1.084163877
970	1.084161355
971	1.084161014
972	1.084149512
973	1.084149019
974	1.084145031
975	1.084144363
976	1.084128886
977	1.084126336
978	1.084125192
979	1.084113473
980	1.084105788
981	1.084102761
982	1.084097831
983	1.084094285
984	1.084092133
985	1.084086266
986	1.084084394
987	1.084082053
988	1.084078371
989	1.084069457
990	1.084066624
991	1.084064049
992	1.084058105
993	1.084047179
994	1.084044231
995	1.084033519
996	1.084032503
997	1.084030174
998	1.084027448
999	1.084013985
